trial,lr,batch_size,dice,elapsed_s
1,0.003807947176588889,8,0.6600138579096113,90.9
2,0.0019160044196750217,16,0.5905629562007056,88.3
3,0.006026718993550663,8,0.6812590769359044,91.8
4,0.0045137442532505526,8,0.6670502577509199,74.8
5,0.0006750277604651748,16,0.7125909096664853,71.1
6,0.0034037152502763165,16,0.5834625611702601,70.8
7,0.007109918520180851,16,0.6552675449185901,71.0
8,0.0006584746323682926,16,0.7065997785992093,71.1
9,0.008341182143924175,16,0.6510143511825137,70.8
10,0.00010770978182604186,16,0.7204399241341485,71.2
11,0.001915704647548995,16,0.6851018236743079,71.4
12,0.006155366288833982,8,0.6451042584010533,74.8
13,0.004376255684556947,8,0.6178819588252477,74.5
14,0.005295269136558053,8,0.6251403450965881,74.6
15,0.0014809892204552142,16,0.6877420478396945,71.0
16,0.009740179636530446,8,0.6479385708059583,74.7
17,0.004615092843748656,8,0.6808200427464076,75.1
18,0.006222021492397565,16,0.6714785231484307,80.8
19,0.005190920940294755,16,0.6538773775100708,71.6
20,0.004720952643155002,8,0.6726756828171866,74.9
21,0.006114694033824241,8,0.6769780772072929,75.2
22,0.0045599425944984765,16,0.6311519195636114,71.1
23,0.009493966818808,16,0.5489830043580797,71.1
24,0.0056765533566708395,16,0.6592789027425978,71.0
25,0.00311567631481637,8,0.6866120508738927,74.7
26,0.002385848873659275,16,0.6371015972561307,71.1
27,0.0044575096880220535,8,0.6726383873394557,74.9
28,0.006138966912047948,16,0.5982056889269087,70.9
29,0.00044044635904066216,16,0.7168888549009959,71.0
30,0.003971500014975084,16,0.6587375601132711,71.4
31,0.006658970615104422,16,0.6723843912283579,71.6
32,0.004309043157463323,16,0.6778483324580722,71.4
33,0.005512431765498469,16,0.663002073764801,71.2
34,0.00041000159531003,16,0.7214111420843337,71.0
35,0.007773814951275035,16,0.6644725203514099,71.1
36,0.004011987336417964,16,0.6692421966128879,70.9
37,0.006019209790229744,16,0.6607104606098599,71.6
38,0.00333275361117777,16,0.6627356045775943,71.8
39,0.0020402303379495374,8,0.697409280708858,75.4
40,0.009615603041058556,8,0.5978448978492192,74.7
41,0.003947905167925873,16,0.6565202275911967,70.9
42,0.0054429521106518905,16,0.6575581530729929,71.2
43,0.003631857934266534,16,0.6815680331654019,71.4
44,0.006109639052098179,8,0.6039834439754486,75.2
45,0.0014951498272501504,8,0.6972045779228211,75.0
46,0.001736142696723725,8,0.6632240976606096,74.6
47,0.009870180672345122,16,0.5868487109740576,70.9
48,0.0040093270299381405,16,0.6227875318792131,71.1
49,0.00015466895952366376,8,0.7482968551771981,74.8
50,0.002068539800479171,16,0.662616233030955,71.6
51,0.0073171709636057755,8,0.6291649673666273,75.6
52,0.006099003750332013,16,0.6502953304184808,71.0
53,0.003648810712588299,8,0.6621027180126735,74.6
54,0.00915810078788343,8,0.5573817065783909,74.8
